ds,trend,confirmed,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,country
3/25/2021,14.77894392,34,21,47,14.73980567,14.82189766,0,0,0,0,0,0,1.293678842,1.293678842,1.293678842,1.293678842,1.293678842,1.293678842,Burundi
3/26/2021,14.75762212,23,10,35,14.68294883,14.83493318,0,0,0,0,0,0,0.557276237,0.557276237,0.557276237,0.557276237,0.557276237,0.557276237,Burundi
3/21/2021,1541.22777,3365,2735,3975,1541.22777,1541.22777,0,0,0,0,0,0,1.183037195,1.183037195,1.183037195,1.183037195,1.183037195,1.183037195,Canada
3/22/2021,1550.72018,3963,3282,4559,1550.72018,1550.72018,0,0,0,0,0,0,1.555345142,1.555345142,1.555345142,1.555345142,1.555345142,1.555345142,Canada
3/23/2021,1560.212591,3339,2701,3933,1560.212591,1560.212591,0,0,0,0,0,0,1.140197061,1.140197061,1.140197061,1.140197061,1.140197061,1.140197061,Canada
3/24/2021,1569.705001,3435,2765,4071,1569.705001,1569.705001,0,0,0,0,0,0,1.188144348,1.188144348,1.188144348,1.188144348,1.188144348,1.188144348,Canada
3/25/2021,1579.197411,3680,3048,4349,1575.487083,1581.366149,0,0,0,0,0,0,1.330074227,1.330074227,1.330074227,1.330074227,1.330074227,1.330074227,Canada
3/26/2021,1588.689822,3513,2858,4150,1578.574797,1595.596606,0,0,0,0,0,0,1.211107711,1.211107711,1.211107711,1.211107711,1.211107711,1.211107711,Canada
3/27/2021,1598.182232,3221,2566,3861,1580.890943,1612.907214,0,0,0,0,0,0,1.015551989,1.015551989,1.015551989,1.015551989,1.015551989,1.015551989,Canada
3/21/2021,2318.019146,6097,5395,6783,2318.019146,2318.019146,0,0,0,0,0,0,1.630448215,1.630448215,1.630448215,1.630448215,1.630448215,1.630448215,Chile
3/22/2021,2352.568358,5608,4896,6287,2352.568358,2352.568358,0,0,0,0,0,0,1.38398349,1.38398349,1.38398349,1.38398349,1.38398349,1.38398349,Chile
3/23/2021,2387.11757,4630,3900,5287,2387.11757,2387.11757,0,0,0,0,0,0,0.93946885,0.93946885,0.93946885,0.93946885,0.93946885,0.93946885,Chile
3/24/2021,2421.666782,4690,4025,5342,2417.271636,2425.741385,0,0,0,0,0,0,0.936681301,0.936681301,0.936681301,0.936681301,0.936681301,0.936681301,Chile
3/25/2021,2456.215994,6279,5582,6911,2444.66245,2467.172658,0,0,0,0,0,0,1.556170025,1.556170025,1.556170025,1.556170025,1.556170025,1.556170025,Chile
3/26/2021,2490.765206,6748,5996,7434,2470.601511,2507.01546,0,0,0,0,0,0,1.709010906,1.709010906,1.709010906,1.709010906,1.709010906,1.709010906,Chile
3/27/2021,2525.314419,8519,7793,9206,2490.979323,2552.108589,0,0,0,0,0,0,2.373588821,2.373588821,2.373588821,2.373588821,2.373588821,2.373588821,Chile
3/21/2021,-4.316394797,-8,-718,697,-4.316394797,-4.316394797,0,0,0,0,0,0,0.809358244,0.809358244,0.809358244,0.809358244,0.809358244,0.809358244,China
3/22/2021,-4.971003331,-8,-712,678,-4.971003331,-4.971003331,0,0,0,0,0,0,0.570582108,0.570582108,0.570582108,0.570582108,0.570582108,0.570582108,China
3/23/2021,-5.625611864,-10,-673,667,-5.625611864,-5.625611864,0,0,0,0,0,0,0.786353312,0.786353312,0.786353312,0.786353312,0.786353312,0.786353312,China
3/24/2021,-6.280220397,-7,-737,686,-9.240915574,-4.736914304,0,0,0,0,0,0,0.192676203,0.192676203,0.192676203,0.192676203,0.192676203,0.192676203,China
3/25/2021,-6.934828931,-34,-697,699,-13.72689049,-2.240373977,0,0,0,0,0,0,3.848827714,3.848827714,3.848827714,3.848827714,3.848827714,3.848827714,China
3/26/2021,-7.589437464,-21,-728,699,-22.18312784,5.815295479,0,0,0,0,0,0,1.75092421,1.75092421,1.75092421,1.75092421,1.75092421,1.75092421,China
3/27/2021,-8.244045997,-13,-669,667,-27.58835758,10.84181059,0,0,0,0,0,0,0.621210915,0.621210915,0.621210915,0.621210915,0.621210915,0.621210915,China
3/21/2021,1673.436599,4663,3770,5694,1673.436599,1673.436599,0,0,0,0,0,0,1.786691662,1.786691662,1.786691662,1.786691662,1.786691662,1.786691662,Colombia
3/22/2021,1705.508321,4388,3428,5395,1705.508321,1705.508321,0,0,0,0,0,0,1.572790413,1.572790413,1.572790413,1.572790413,1.572790413,1.572790413,Colombia
3/23/2021,1737.580043,4811,3860,5742,1737.580043,1737.580043,0,0,0,0,0,0,1.768681482,1.768681482,1.768681482,1.768681482,1.768681482,1.768681482,Colombia
3/24/2021,1769.651765,5403,4458,6362,1769.315508,1774.480595,0,0,0,0,0,0,2.053281904,2.053281904,2.053281904,2.053281904,2.053281904,2.053281904,Colombia
3/25/2021,1801.723487,5691,4708,6666,1787.474598,1823.616146,0,0,0,0,0,0,2.158612059,2.158612059,2.158612059,2.158612059,2.158612059,2.158612059,Colombia
3/26/2021,1833.795209,5523,4555,6564,1802.54403,1873.747464,-29.64772436,-29.64772436,-29.64772436,-29.64772436,-29.64772436,-29.64772436,2.028101054,2.028101054,2.028101054,2.028101054,2.028101054,2.028101054,Colombia
3/27/2021,1865.866931,5737,4670,6776,1810.516452,1923.313083,-18.08045433,-18.08045433,-18.08045433,-18.08045433,-18.08045433,-18.08045433,2.084522991,2.084522991,2.084522991,2.084522991,2.084522991,2.084522991,Colombia
3/21/2021,324.9746167,915,724,1102,324.9746167,324.9746167,0,0,0,0,0,0,1.815663147,1.815663147,1.815663147,1.815663147,1.815663147,1.815663147,Croatia
